slug,name,publisher,url,region,tier,evidenceKind,lineage,editions,canonicalUrl,scaleNotes,notes
me-mfs-fire-resistant-plant-list,Maine fire-resistant plant list,"Maine Forest Service, Forest Protection Division",https://www.maine.gov/dacf/mfs/forest_protection/firewise/fire_resistant_plant_list.html,Maine,2,compiled,me-mfs-fire-resistant-plants,MFS-list-updated-2013-10-23 2013-10-23,https://fireapproved.com/plants/source/me-mfs-fire-resistant-plant-list/,"The official PDF contains 50 individually named tree, shrub, vine/ground-cover, and perennial rows. Listed plants map to recommend only within the source's stated 30-100-foot landscaping placement.",Tier 2 agency compilation with no stated testing method. The source calls the list partial and limits its use statement to the 30-100-foot portion of the home ignition zone. The 50 printed plant rows are fully accounted for; only conservative unique identity joins publish.
molina-2017-ignition-index,The ignition index based on flammability of vegetation improves planning in the WUI,"Landscape and Urban Planning (Molina, Martín, Rodríguez y Silva & Herrera)",https://helvia.uco.es/xmlui/bitstream/10396/27022/3/,"Córdoba, southern Spain",1,lab-tested,molina-uco-tree,2017 author manuscript 2017,https://fireapproved.com/plants/source/molina-2017-ignition-index/,"Table 2 applies Valette classes 0-5. Verdict map: 0-1 = recommend, 2-3 = mixed, 4-5 = avoid. This paper's observed range is 2-5, so it supplies no recommend rows. Moisture, time to ignition, and flame duration are preserved.",Public full text is deposited in the University of Córdoba repository. The graphical Table 2 was visually verified for all 18 exact taxa. The registry's earlier note claiming Thuja orientalis and Ligustrum vulgare were low-class mitigators was incorrect: they are classes 3 and 4. This UCO dataset is an independent molina-uco-tree lineage.
msu-e2948,Wildfire-resistant Landscape Plants for Michigan (Extension Bulletin E2948),"Michigan State University Extension (Hansen, Fernandez)",https://web.archive.org/web/20070714035839/http://www.firewise.org/usa/files/mi_wildfire_resistant.pdf,Michigan / Great Lakes,1,expert-curated,msu-e2948,"New, January 2007 2007-01",https://fireapproved.com/plants/source/msu-e2948/,"Binary wildfire-resistant list: Table 1 prints 241 rows (2 annuals, 27 groundcovers, 57 perennials, 86 shrubs, 60 trees, 9 vines) with hardiness zones and a Michigan-native flag. Verdict map: listed = recommend.","Michigan's only wildfire plant list. The current MSU PDF endpoint returned an Incapsula denial on 2026-08-25, so evidence links use the verified 2007 Internet Archive capture. Exact audit represents 226 source rows as 221 GBIF owners and holds 15 cultivar, hybrid-group, subspecies, or non-exact rows. Notable inclusions that collide with other lists — bird's nest spruce, English ivy, common boxwood — carry the usual recommend verdict here and surface as documented conflicts rather than being averaged away."
msu-montguide-mt200101ag,Fire-Resistant Plants for Montana Landscapes (MontGuide MT200101AG),Montana State University Extension,https://extension-store.montana.edu/montguides/fire-resistant-plants-for-montana-landscapes,Montana / Northern Rockies,1,expert-curated,msu-montguide,2001 2001-03; 2019 2019-12; 2022 2022-04,https://fireapproved.com/plants/source/msu-montguide-mt200101ag/,"Binary list of fire-resistant species adapted to Montana: 64 groundcover/herbaceous rows, 14 tree rows, and 18 shrub rows. Verdict map: listed = recommend.","Tier 1 original regional expert curation by MSU Extension. The source acknowledges Bob Gough and Jason Lamb as the original authors and explains that some references rated whole genera while others named species. Its single Rosaceae-family row is preserved in the source archive but excluded from plant rating inputs because family is metadata, never a record rank or a cascading verdict."
nc-plant-toolbox,North Carolina Extension Gardener Plant Toolbox — plant profiles and flammability ratings,NC State Extension (plants.ces.ncsu.edu),https://plants.ces.ncsu.edu/find_a_plant/,North Carolina / southeastern US,,expert-curated,bardon-2005 (partial),2026 2026,https://fireapproved.com/plants/source/nc-plant-toolbox/,"Per-plant flammability tags — low / medium / high / extreme — on the Toolbox's plant pages and search facets. Verdict map: low = recommend, medium = mixed, high and extreme = avoid. Tier is deliberately omitted: the Toolbox does not document who assigned its flammability values, so rows count as corroboration only, never sole Tier 1 support. Rows for plants already rated by Bardon's 2005 Firewise Landscaping list resolve to bardon-2005 via the chain-to-root rule.","Facts extracted with attribution from the public search facets (240 rated plants, 2026-08-23); Toolbox photos are per-image licensed (many NC/ND) and are not reused. Exact-match audit 2026-08-25: 238 facet rows resolve to 217 existing GBIF owners; 10 rows use nine documented exact synonym/spelling/genus reconciliations, and two cultivar/hybrid labels are held. Three plants appear under both the high and extreme tags; both values are preserved. No undocumented Toolbox row can supply sole Tier 1 support. Hardiness acquisition 2026-08-26 revisited 54 exact profile URLs that lacked typed tolerance data: 53 publish contiguous USDA half-zone series and one, the profile for Symphyotrichum retroflexum (Aster curtisii), publishes no hardiness field. The exact miss is retained rather than inferred."
ncsu-ag874,Fire-Resistant Landscaping in North Carolina (AG-874),"NC State Extension (Kays, Fawcett, Query, Thompson-Welch, Bardon)",https://content.ces.ncsu.edu/fire-resistant-landscaping-in-north-carolina,North Carolina,1,expert-curated,nc-tree,2025 2025-03-26; 2020 2020-06-05,https://fireapproved.com/plants/source/ncsu-ag874/,"202 North Carolina natives across three tables — 106 low, 61 medium, 35 high flammability — with growth-form groupings and habitat columns. Verdict map: low = recommend, medium = mixed, high = avoid. The successor to Bardon's 2005 Firewise Landscaping list (Bardon is a co-author): the 2005 ""extreme"" class was dropped, so former extreme species reappear here as high.","Rows whose class is unchanged from the 2005 list resolve to bardon-2005 (same nc-tree lineage, edition corroboration); rows where the class changed carry their own AG-874 evidence naming the delta. Not independent of bardon-2005 or of the NC Plant Toolbox rows that chain to it."
nevada-nac-555-010-r152-17,"Nevada NAC 555.010 Category A, B, and C Noxious Weeds",Nevada State Quarantine Officer,https://www.leg.state.nv.us/NAC/NAC-555.html#NAC555Sec010,Nevada,,regulatory-list,nevada-nac-555-010,,https://fireapproved.com/plants/source/nevada-nac-555-010-r152-17/,"NAC 555.010 lists 31 Category A, 12 Category B, and 11 Category C weeds. Category A carries statewide exclusion, eradication wherever found, and nursery-stock-dealer-premises eradication; Category B carries exclusion where possible and dealer-premises eradication; Category C carries dealer-premises eradication. NRS 555.150 separately places control duties on named landowners, occupants, land controllers, companies, counties, cities, and districts in the manner and whenever required by the State Quarantine Officer. The list does not itself state a general sale, import, transport, propagation, purchase, or bare-possession ban.","R152-17 last amended NAC 555.010 effective August 30, 2018. The current NAC chapter page was revised April 13, 2026 and separately carries the chapter-level marker ""NAC-555 Revised Date: 8-24""; August 2024 is not represented as the section amendment date. Current NRS Chapter 555 is through the 2025 statutes and was revised April 15, 2026. Notice, county abatement, cost objection/hearing, lien, and federal-law limits remain operational qualifications rather than new plant-list activities. Whole-plant law, seed regulation, ecological invasion, and fire performance remain separate dimensions."
new-york-6-nycrr-part-575-2015,New York 6 NYCRR Part 575 Prohibited and Regulated Invasive Species,New York State Department of Environmental Conservation,https://dec.ny.gov/nature/invasive-species/resources-regulations/regulations,New York,,regulatory-list,new-york-6-nycrr-part-575,,https://fireapproved.com/plants/source/new-york-6-nycrr-part-575-2015/,"Part 575 distinguishes 69 prohibited plants from six regulated plants. Prohibited plants have specified possession, trade, transport, introduction, propagation, and disposal restrictions. Regulated plants remain legal to possess, sell, buy, propagate, and transport, but introduction into a free-living state is restricted and sale or landscape supply requires the rule's warning and spread-prevention information.","The current NYSDEC page binds the 2014 printable list to the current program surface, names nine conditionally exempt cultivars under 575.8(a)(4), and identifies the six regulated plants that require labels. The official New York State Register adoption notice establishes filing 753 and the March 10, 2015 effective date and supplies the authority and effect summary. Cultivar exemptions are conditions, not species-wide clearances. The expired Japanese barberry grace period is retained only as history. Ecological invasion, legal status, and fire performance remain separate dimensions."
nfs-living-with-fire-nebraska,"Living With Fire — A Homeowner's Guide, Eastern Nebraska Edition",Nebraska Forest Service,http://web.archive.org/web/20240626052536/https://nfs.unl.edu/documents/fireprotection/Living%20with%20Fire%20Eastern%20NE%208x11%20low.pdf,Eastern Nebraska,2,compiled,unr-tree,Eastern Nebraska edition 2011,https://fireapproved.com/plants/source/nfs-living-with-fire-nebraska/,"The exact instruction ""Avoid juniper, mugo pine and arborvitae"" maps the taxon-resolvable Juniperus genus and Pinus mugo species to avoid.","The guide is adapted from the University of Nevada Living With Fire program. It has no plant table, but its Lean, Clean and Green Area tips contain a direct avoid sentence. Juniper and mugo pine support exact GBIF identities; arborvitae and the guide's other cedar/redcedar wording are held because the common names do not safely identify a single taxon. A currently indexed Western Nebraska companion timed out during retrieval, so no facts were reconstructed from its search result. Eastern-edition PDF SHA-256: 495902d0ae6adfc2f17ec8da69233f0535e5bf795afa29aed0c42af6b3248c90. The pinned archival PDF is 5,278,436 bytes."
nm-emnrd-firewise-plant-list,FireWise Plant List for New Mexico,"New Mexico Energy, Minerals and Natural Resources Department, Forestry Division",https://www.emnrd.nm.gov/sfd/wp-content/uploads/sites/4/Wui_plantlist.pdf,New Mexico,2,compiled,csu-nmsu-firewise,Forestry Division PDF 2003-10-08,https://fireapproved.com/plants/source/nm-emnrd-firewise-plant-list/,"One affirmative FireWise list with separate water, sun/shade, mature-height, elevation, and bloom fields. Elevation cells are source-coded Y = yes, N = not recommended, ? = unknown or doubtful, or blank = not stated. Listed = recommend, with every elevation code retained beside the plant evidence.","The Forestry Division's current protecting-your-home page still links the 74,648-byte official PDF as ""NM Fire Resistant Plants."" The PDF title is FireWise Plant List for New Mexico and its metadata creation date is October 8, 2003. It says the pamphlet borrowed heavily from Chuck Dennis's Colorado State Forest Service / Colorado State University publication, so this source stays in the existing csu-nmsu-firewise lineage and never creates an independent vote beside the related Arizona compilation. The source also says plant choice, spacing, and maintenance are critical; source-wide maintenance prose is not projected into plant-specific maintenance rows. The visually checked extraction contains 36 tree/large-shrub rows, 32 shrub rows, and 72 flower/ground-cover rows. PDF SHA-256: 60b99e225fbaf1318bd8212aebd65c0ad7848da3ab8cba16fc82663d26c56b25."
nord-green-1977-psw124,Low-volume and slow-burning vegetation for planting on clearings in California chaparral,"USDA Forest Service, Pacific Southwest Forest and Range Experiment Station",https://research.fs.usda.gov/download/treesearch/28938.pdf,California,1,field-trial,nord-green-1977-psw124,PSW-124 1977,https://fireapproved.com/plants/source/nord-green-1977-psw124/,"Table 2 recommends named grasses for California fuelbreak sites. Tables 3 and 4 classify shrub field performance as Good, Fair, or Poor for southern California brushland clearings; Table 5 separately lists 22 shrub taxa not considered suitable, with reasons that include establishment, adaptation, fuel volume, morphology, and flammability.",Performance and suitability are preserved as source placement evidence. Poor and unsuitable rows are recorded as not-rated rather than as avoid evidence because many failures concern establishment or site adaptation rather than intrinsic flammability. Capture SHA-256: bea653b39eb3e133339e7d18f5ceac68d28d760fb62a8be4bb4842e7154e9e39.
nrcs-tn66-fuel-breaks-2016,Fuel Breaks to Reduce Large Wildfire Impacts in Sagebrush Ecosystems (Plant Materials Technical Note 66),"USDA Natural Resources Conservation Service, Boise, Idaho",https://www.wlfw.org/wp-content/uploads/2016/03/tn66_fuel_breaks.pdf,Great Basin,1,expert-curated,greenstrip-tree,Plant Materials Technical Note 66 2016-03,https://fireapproved.com/plants/source/nrcs-tn66-fuel-breaks-2016/,Appendix B is a 12-row table headed “Common plant material options for greenstrips.” Listed = recommend only within the recorded greenstrip placement; the rows are not unconditional home-landscape recommendations. The crested-wheatgrass row names two alternative species and therefore resolves to two exact GBIF evidence owners.,"Tier 1 agency synthesis with an explicit operational selection framework. The note says greenstrip materials should be selected primarily for adaptation and persistence, and that establishment and maintenance can include site preparation, grazing deferment, grazing, mowing, or herbicide. All rows share the greenstrip-tree lineage with the earlier BLM, USFS, University of Nevada, and forage-kochia literature."
nswrfs-pbp-2019,Planning for Bush Fire Protection 2019 — Appendix A1.9 exotic vegetation,NSW Rural Fire Service,https://www.rfs.nsw.gov.au/__data/assets/pdf_file/0005/174272/Planning-for-Bush-Fire-Protection-2019.pdf,"New South Wales, Australia",2,regulatory,unknown,2019 2019-11-07,https://fireapproved.com/plants/source/nswrfs-pbp-2019/,"Appendix A1.9 names six species or genus owners as the four main exotic vegetation groups, says these plants can intensify bushfires under adverse weather, and assigns vegetation fuel-class conversions. These explicit negative assessments map to avoid. Generic Appendix 4 landscaping rules do not create taxon rows.","The current official host returned HTTP 403 on 2026-08-25. The official PDF was recovered from the 2025-02-10 Wayback capture. Its plant-callout lineage is not stated, so it remains unknown rather than being inferred from the broader Keith vegetation-class framework. PDF SHA-256: 57e72eafafd51d90b06406f400326c740b6533be1dcf43354bb6394af415c786."
nv-forestry-tahoe-landscaping-guide,Home Landscaping Guide for Lake Tahoe and Vicinity (Ed. Bulletin 06-01),Nevada Division of Forestry / University of Nevada Cooperative Extension,https://forestry.nv.gov/uploads/missions/20210304_AMT_2006_Home_Landscaping_Guide_Lake_Tahoe.pdf,"Lake Tahoe Basin, Nevada and California",2,compiled,unr-tree,Bulletin 06-01 2006,https://fireapproved.com/plants/source/nv-forestry-tahoe-landscaping-guide/,"Table 1 prints low, mod, high, or unknown in a Fire Hazard column. Low maps to recommend, mod to mixed, and high to avoid. Unknown rows are not evidence. The guide calls the ratings rough estimates of potential flammability, says they are not based on scientific trials, and says its low/high values were derived from a variety of sources.","Tier 2 compiled evidence in the unr-tree lineage. The official 173-page PDF is captured locally with a layout-preserving text extraction. Its 85 rated rows expand to 86 botanical entries and 83 exact evidence owners; two ambiguous backbone matches are held and 43 unknown rows create no evidence. The broader TRPA Recommended Plant List is not treated as a blanket fire recommendation. The live official 8,670,759-byte PDF exactly matched the pinned input on 2026-08-26; SHA-256: c856f7f1a965843696f97589b29dc3d3208579e318846deb0be03b4e6188a973."
ogm-yardop-circulars,Yanan Orman Alanlarının Rehabilitasyonu ve Yangına Dirençli Ormanlar Tesisi Projesi — 6976 Sayılı YARDOP Tamimi,Orman Genel Müdürlüğü,https://www.lexpera.com.tr/resmi-gazete/metin/yanan-orman-alanlarinin-rehabilitasyonu-ve-yangina-direncli-ormanlar-tesisi-projesi-20140915-2,Turkey,2,regulatory,ogm-yardop-6976,Circular 6976 2014-09-15,https://fireapproved.com/plants/source/ogm-yardop-circulars/,"The circular directs managers to preserve, encourage, or plant taxa it calls fire-resistant, slow-burning, or suitable for fire-prevention belts. These named operational selections map to recommend. Repeated taxa across the general principles, facility, and stream-vegetation clauses cast one row.",Seventeen unique exact GBIF owners are admitted. Turkish group names use genus rank; species rank is used only for unambiguous named plants. Akasya and katır tırnağı are held as taxonomically ambiguous common names. The parenthetical around existing natural species in red-pine areas is not converted because its exclusion semantics are unclear. HTML SHA-256: 4ddfb1d2b7f28058c843494fdecf9dbe87976755b0cf3820fe288ab9f80f8273.
ohio-oac-901-5-30-01-2023,Ohio OAC 901:5-30-01 Invasive Plant Species,Ohio Department of Agriculture,https://codes.ohio.gov/ohio-administrative-code/rule-901%3A5-30-01,Ohio,,regulatory-list,ohio-oac-901-5-30-01,,https://fireapproved.com/plants/source/ohio-oac-901-5-30-01-2023/,"The rule designates 63 invasive plants and prohibits specified sale, propagation, distribution, import, and dissemination activities. Disposal and control must avoid further spread; research or educational use requires a department compliance agreement. ORC 901.50 excludes cultivated plants grown as food or livestock feed under generally accepted agricultural practices, including USDA APHIS-authorized plants. Reed canary grass sold for animal feed also has a rule-specific active exception. The Callery pear and common privet transition dates are retained only as expired historical facts.","ORC 901.50's cultivated food/livestock-feed exclusion and the rule's narrower reed-canary-grass feed exception are modeled as separate material-scope boundaries; neither is a blanket clearance for landscape use. The rule also authorizes the director to exempt a cultivar when scientific evidence shows it is not invasive. No current official exemption roster was located, so FireApproved does not claim that no exemptions exist and does not project a species result onto cultivar pages. Fallopia japonica remains a synonym-only hold under the automatic publication rule. Ohio's separate noxious-weed road-control, seed, and purple-loosestrife permit authorities are not part of this source."
okstate-grow-firewise-plantings-2022,Firewise Plantings Can Help Protect Property,Oklahoma State University Extension,https://extension.okstate.edu/programs/gardening/grow-gardening-columns/grow-columns-2022/august-28-2022-firewise-planting,Oklahoma,1,expert-curated,okstate-grow-2022,2022-08-28 2022-08-28,https://fireapproved.com/plants/source/okstate-grow-firewise-plantings-2022/,"Binary prose guidance. Sedum and hellebore are named as good landscape choices because they remain green in winter; pine, juniper, and Yaupon holly are called highly flammable and should not be planted near a home or other structure.",Five unambiguous taxa are retained. The common names “ice plant” and “cedars” are excluded because the source does not identify a genus or species. The publisher page and PDF were browser-readable on 2026-08-25 but returned HTTP 403 to command-line capture; the exact taxon-bearing paragraphs are archived in the research capture.
onf-dfci-haies-2012,Sensibilité des haies face aux incendies de forêt sous climat méditerranéen,"Office national des forêts, Direction territoriale Méditerranée",https://www.biot.fr/media-file/1393/guide-dfci-haies.pdf,Mediterranean southeast France,1,lab-tested,onf-pyrosudoe-tree,Guide DFCI 2012,https://fireapproved.com/plants/source/onf-dfci-haies-2012/,"Each fiche publishes an overall fire-sensitivity class based on experimental-bench inflammability, intensity, and combustion measurements crossed with foresters' post-fire observations. Verdict map: faible and très faible = recommend; moyenne = mixed; forte and très forte = avoid.","The complete public French PDF was visually verified. Five exact-species and ten true Latin genus fiches are represented; genus ratings attach to genus-rank spp. records. Only the Bambusoideae subfamily and the multi-genus Virginia-creeper vernacular group are excluded. Valette supported the project, but this guide's combined bench and field-observation dataset is its own onf-pyrosudoe-tree lineage."
osfm-oregon-fire-resistant-plants,Oregon State Fire Marshal — Fire-Resistant Plants quiz,Oregon State Fire Marshal,https://www.oregon.gov/osfm/wildfire/pages/fire-resistant-plants.aspx,Oregon,2,mirror,pnw590-tree,live page captured 2026-08-25 2026-08-25,https://fireapproved.com/plants/source/osfm-oregon-fire-resistant-plants/,"Presence as one of six results under the page's “Which Fire-Resistant Plant Are You?” quiz. The agency page points readers to OSU's PNW 590 guide, so these rows are Tier 2 corroboration in the pnw590-tree, not independent votes.",The live page added six quiz-result plant labels after the registry's earlier zero-row assessment. Four labels are taxonomy-safe; Red Dogwood and Coneflower remain held because the page supplies no scientific name and each common label can denote more than one taxon. Quiz images were not downloaded.
osu-b921,Firewise Landscaping (OSU Extension Bulletin 921),"Ohio State University Extension (Sydnor, Steward, Kloss / Ohio DNR Division of Forestry)",http://web.archive.org/web/20070714035936/http://www.firewise.org/usa/files/ohio_plantlist.pdf,Ohio / Midwest,1,expert-curated,ufifas-srs-tree,2006 2006,https://fireapproved.com/plants/source/osu-b921/,"Five-point flammability rating (VL / L / M / H / VH; the perennials table also uses the ranges L-M and L-H) across eight tables of trees, shrubs, ground covers, vines, perennials, and grasses, plus a mulch table. Verdict map: VL and L = recommend, M = mixed, H and VH = avoid; range ratings = mixed. Ratings are the authors' expert experience, not a published key.","The only rated Midwest flammability list; recovered from the defunct firewise.org file area via the Wayback Machine (sole surviving copy). Co-author Larry Steward (OSU ATI) is also the rater behind the Fire Performance Plant Selector, so B921 and FPS are not fully independent. Siting guidance is per plant category, not per row; the mulch table is recorded in guides, not as plant records. The archived PDF is 1,053,160 bytes; SHA-256: a383aab09f3daff6d3600bd2366b27e4ae3a79d442272e691ee236070b6c372b."
osu-em-9103,Fire-resistant Landscape Plants for the Willamette Valley (EM 9103),Oregon State University Extension Service,https://www.canbyfire.org/files/074d2a9e3/Fire-Resistant-Plants_Willamette-Valley.pdf,Oregon (Willamette Valley),1,expert-curated,pnw590-tree,"EM 9103, February 2015 2015-02",https://fireapproved.com/plants/source/osu-em-9103/,"Binary recommendation by presence among the publication's 178 individual groundcover, perennial, shrub/woody-vine, and tree profiles. Verdict map: profiled as fire-resistant = recommend.","OSU's Willamette Valley companion to PNW 590. The introduction says the guide highlights fire-resistant plants that thrive under Willamette Valley growing conditions and points readers to PNW 590 for more information, so both sources remain one pnw590-tree lineage vote. The legacy OSU and registry PDF endpoints returned 403 on 2026-08-25; the captured complete OSU publication is hosted by Canby Fire District. Exact reconciliation represents 172 profiles on 172 GBIF owners and holds six non-exact printed taxa. Printed valid USDA zone ranges are retained and used only to fill previously empty zone fields."
osu-plant-profile-galleries,Fire-resistant plant profile galleries,Oregon State University Extension Service,https://extension.oregonstate.edu/gallery/fire-resistant-plant-profiles-shrubs,Pacific Northwest (Oregon / Washington / Idaho),1,expert-curated,pnw590-tree,November 2023 educational galleries 2023-11,https://fireapproved.com/plants/source/osu-plant-profile-galleries/,Binary recommendation by presence in one of five galleries whose headings direct readers to choose the profiled plants for a fire-resistant landscape. Verdict map: profiled = recommend.,"Web presentation of the 2023 PNW 590 list, with descriptive profiles and printed USDA zones. The gallery pages explicitly point to PNW 590 for complete details, so both sources remain one pnw590-tree lineage vote. Exact reconciliation represents 146 printed taxon alternatives from 155 profiles on 145 GBIF owners. Thirteen cultivar-specific, hybrid-group, or non-exact profiles are held; the shrub and tree galleries' two Serviceberry profiles remain separate evidence rows on the shared Amelanchier owner."
ozbreed-fire-retardant-plants,Fire Retardant Plants: Literature Review and Plant List,Ozbreed,https://www.ozbreed.com.au/download/fire_retardant_plants.pdf,Australia,2,compiled,csiro-tree,2014 PDF 2014-01-23,https://fireapproved.com/plants/source/ozbreed-fire-retardant-plants/,List 1 contains plants backed by scientific evidence or longstanding use as fire breaks; List 2 contains Ozbreed plants whose genus and species appear regularly on multiple fire-retardant lists; List 3 contains selections that appear on fewer lists or require extra management. Lists 1 and 2 map to recommend; the explicitly management-dependent List 3 maps to mixed.,"Twenty unique, taxonomically resolvable genus/species identities were admitted. Cultivars were collapsed only to the species explicitly printed beside them; cultivar-only Rhododendron and Gazania hybrids, an unspecified Westringia cultivar, and Dianella hybrid were held rather than widened to an inferred species. The five comparison rows in the CSIRO sample table are not recommendations and are already represented by primary-study measurements in FLAMITS. Capture SHA-256: f888f20b93f6f7fd3bfdf5c99521a465c7af904bdff350ec31145f97b116f569."
pnw-590,Fire-Resistant Plants for Home Landscapes (PNW 590),OSU + WSU + University of Idaho Extension (joint PNW series),https://extension.oregonstate.edu/catalog/pub/pnw-590-fire-resistant-plants-home-landscapes,OR/WA/ID,1,expert-curated,pnw590-tree,2006 2006-08; 2023 2023-10,https://fireapproved.com/plants/source/pnw-590/,Binary recommend (presence on list). Carries USDA zone ranges per plant.,Root of the largest US derivation tree. Joint publication of three land-grant universities; the most-mirrored fire plant document in the West.
radtke-1983-psw-gtr-067,Living More Safely in the Chaparral-Urban Interface,"USDA Forest Service, Pacific Southwest Forest and Range Experiment Station (Klaus W. H. Radtke)",https://research.fs.usda.gov/download/treesearch/28923.pdf,Southern California,2,compiled,la-arboretum-tree,General Technical Report PSW-67 1983-09; San Diego post-2003-fire revision 2004-10-15,https://fireapproved.com/plants/source/radtke-1983-psw-gtr-067/,"Table 5 assigns 20 low-growing landscape entries a fire-retardance class based on fuel volume, inherent plant flammability, and ease of fire spread. High and generally high map to recommend; medium, medium to high, and low to medium map to mixed; low maps to avoid. The collective ice-plants row explicitly names Carpobrotus, Delosperma, and Drosanthemum, so it produces three genus-level rows. The 2004 revision republishes a nine-entry subset without changing these classes.",The report says its table is a general guide for southern California rather than a substitute for site advice. Its ratings are kept in the existing la-arboretum-tree because Radtke cites that plant-selection lineage and acts as a popularizer rather than a new independent taxon trial. Modern taxon queries correct obvious historical spellings only where the report supplies an unambiguous scientific identity; verbatim table labels remain in verdictRaw. Official 1983 PDF SHA-256: cb42f7d86d65b4e02dfd093987503af672ce2b99aa1b1e7ef9b238b0f9fb8107. 2004 public-domain revision PDF SHA-256: 2927493d57d735de174b8d490bfbb57b9eb8d39c3fdaccb3fc4f29de64809778.
scfc-fire-smart-plant-list,Landscaping Can Be Attractive & FIREWISE (Fire Smart Plant List for SC),South Carolina Forestry Commission,https://www.scfc.gov/wp-content/uploads/2021/03/ignition-resistant-landscaping-plant-list.pdf,South Carolina,,compiled,unknown,original brochure 2005,https://fireapproved.com/plants/source/scfc-fire-smart-plant-list/,The source's HIGHLY Flammable Plants section maps to avoid. Its LESS Flammable Plants with some fire resistance section maps to recommend.,"The two-page brochure was created in January 2005 and later re-hosted by SCFC. It supplies common names only and cites no underlying list or method. Ingestion therefore remains at genus rank: 72 unique source labels have a conservative genus identity, collapsing to 63 exact accepted-GBIF evidence owners. Arborvitae, pine straw, and Cleyera are held because the labels do not support a single safe genus mapping; the repeated Spirea bullet is represented once. No species were inferred from common names. Tier remains unset and lineage unknown. The current official 218,806-byte download exactly matched the reviewed input on 2026-08-26. Official PDF SHA-256: e75db5c74551ea0977b0fb08cfd258b40328f29e7c4b4586cebdcb38bd3a5f57."
sdsu-protecting-home-landscape,Protecting Your Home and Landscape Against Wildfires,South Dakota State University Extension,https://extension.sdstate.edu/protecting-your-home-and-landscape-against-wildfires,Western South Dakota,2,compiled,unknown,current web page 2026-04-08,https://fireapproved.com/plants/source/sdsu-protecting-home-landscape/,"The sentence naming common flammable trees maps Juniperus, Pinus, Abies, and Picea genus rows to avoid. The adjacent text discourages conifers in the immediate and intermediate Home Ignition Zones.","The page supplies four safe genus identities and no separate low-flammability taxon list. Its references include South Dakota Wildland Fire, NFPA, USDA Black Hills National Forest, CSU, and USU, but the genus sentence has no cell-level provenance or method, so lineage remains unknown. Official HTML is 57,705 bytes and was retrieved 2026-08-25. Official HTML SHA-256: f9a7b9901ef1b6e4301e75adb59905e01ed641cbf5264f0e0be41fba510c9d63."
shan-2003-leaf-fire-ranking,Ordering and sorting of fire resistance of tree leaves,"Scientia Silvae Sinicae (Shan, Hu, Shu, Xu)",https://html.rhhz.net/linyekexue/html/20030118.htm,Northeast China,1,lab-tested,shan-nefu-tree,39(1):105-113 2003,https://fireapproved.com/plants/source/shan-2003-leaf-fire-ranking/,"The paper ranks 55 litter-leaf taxa after factor analysis of moisture, ignition point, ash, heat of combustion, and extractives. Only the authors' explicitly named ten best and ten worst taxa are verdict-bearing: best = recommend and worst = avoid. Uninterpreted middle rankings and clusters are not mapped.",Public full text and the original Table 8 image were verified. Nineteen of the twenty author-classified source taxa resolve exactly through GBIF into eighteen accepted records; the two larches share one accepted concept. Ledum palustre var. dilatatum is excluded because GBIF resolves the printed name only to genus. The other 35 measured taxa remain unmapped rather than receiving inferred verdicts.
souza-2024-promptus-thermal,Thermal analysis of low-flammability plants for green barriers against forest fires,"Promptus, Revista Técnico-Científica do CBMDF (Souza, Vale & Chaves)",https://revista.cbm.df.gov.br/index.php/revista/article/download/11/9,"Federal District, Brazil",1,lab-tested,unb-cbmdf-tree,2024 2024,https://fireapproved.com/plants/source/souza-2024-promptus-thermal/,"The authors explicitly retain three low-flammability classes and the Echinolaena high-flammability comparator after combustion, TGA, and DSC tests. Verdict map: author-classified low = recommend; author-classified high = avoid. Table 4's lower-is-better weighted composite is preserved as the score.",Complete full text is openly published by the Federal District fire brigade. Table 4 was visually verified because it is graphical in the PDF. All four exact taxa are represented. The authors and 2013-14 collection program overlap Souza and Vale 2019; the new combustion/TGA measurements enrich the same unb-cbmdf-tree vote rather than creating a second lineage.
souza-vale-2019-cerrado-df,Survey of low-flammability plants in burned Cerrado areas and analysis of physical properties,Ciência Florestal (Souza & Vale; Universidade de Brasília and CBMDF),https://periodicos.ufsm.br/cienciaflorestal/article/download/22416/pdf,"Federal District, Brazil",1,post-fire-survey,unb-cbmdf-tree,2019 2019-03-29,https://fireapproved.com/plants/source/souza-vale-2019-cerrado-df/,The authors explicitly classify three repeatedly preserved taxa as low flammability and Echinolaena inflexa as the high-flammability comparator. Verdict map: author-classified low = recommend; author-classified high = avoid. The published weighted physical-property score is retained but not remapped.,"Complete Portuguese full text and an English abstract are openly published by UFSM. Seven burned areas totaling about 40 ha were walked within four days of fire; multiple preserved individuals were documented beside consumed vegetation, followed by leaf physical-property analysis. All four exact taxa are represented. This University of Brasília/DF fire-brigade program is one unb-cbmdf-tree lineage."
